frame_idx,FirstFrame_sim,EndFrame_sim
1,0.2754
2,0.2619
3,0.2466
4,0.2402
5,0.2393
6,0.2427
7,0.2333
8,0.2322
9,0.2346
10,0.2299
11,0.2280
12,0.2393
13,0.3163
0,0.3731
1,0.5133
2,0.5371
3,0.5437
4,0.5419
5,0.5484
6,0.5566
7,0.5595
8,0.5681
9,0.5739
10,0.5706
11,0.5731
12,0.5759
13,0.4434
0,0.4387
1,0.4735
2,0.5869
3,0.5277
4,0.6043
5,0.5097
6,0.6080
7,0.5111
8,0.6281
9,0.5384
10,0.5940
11,0.5124
12,0.6019
13,0.4985
0,0.9140
1,1.0999
2,1.0232
3,1.0394
4,0.9703
5,1.0711
6,0.9501
7,1.0637
8,0.9422
9,1.0049
10,0.9501
11,1.0778
12,0.9435
13,0.9486
0,0.8781
1,0.8770
2,0.5661
3,0.8121
4,0.3403
5,0.8835
6,0.2975
7,0.9331
8,0.2369
9,0.7554
10,0.2092
11,0.9193
12,0.2728
13,1.2949
0,0.9926
1,1.2193
2,0.9946
3,1.0682
4,0.8945
5,1.1238
6,0.9060
7,1.1212
8,0.9095
9,1.0005
10,0.8353
11,1.1230
12,0.8125
13,0.8565
0,-0.0994
1,-0.0909
2,-0.0512
3,-0.0670
4,-0.0761
5,-0.0402
6,-0.0615
7,-0.0274
8,-0.0494
9,-0.1160
10,-0.0887
11,-0.0715
12,-0.0729
13,-0.2569
0,0.9147
1,0.8951
2,0.7978
3,0.8693
4,0.7977
5,0.9787
6,0.7938
7,0.9884
8,0.8368
9,0.8743
10,0.7424
11,1.0229
12,0.7844
13,0.8378
0,0.5025
1,0.4146
2,0.4106
3,0.4266
4,0.4148
5,0.4217
6,0.3660
7,0.4195
8,0.3864
9,0.3998
10,0.3442
11,0.3826
12,0.3933
13,0.4049
0,0.5036
1,0.4152
2,0.4775
3,0.4224
4,0.4529
5,0.3911
6,0.4464
7,0.4079
8,0.4877
9,0.4065
10,0.4503
11,0.4290
12,0.5374
13,0.4773
0,0.2337
1,0.2995
2,0.2927
3,0.2935
4,0.2880
5,0.2877
6,0.2785
7,0.2975
8,0.2695
9,0.3045
10,0.2826
11,0.2842
12,0.2670
13,0.2790
0,0.1931
1,0.2168
2,0.1795
3,0.2013
4,0.1761
5,0.2166
6,0.1729
7,0.2175
8,0.1740
9,0.2152
10,0.1818
11,0.2199
12,0.1851
13,0.2278
0,0.1337
1,0.1491
2,0.1615
3,0.1664
4,0.1504
5,0.1639
6,0.1484
7,0.1690
8,0.1638
9,0.1596
10,0.1522
11,0.1693
12,0.1656
13,0.1623
0,0.3699
1,0.4301
2,0.4103
3,0.4161
4,0.4107
5,0.4297
6,0.4186
7,0.4343
8,0.4162
9,0.4211
10,0.4141
11,0.4212
12,0.4106
13,0.3871
0,0.3977
1,0.4135
2,0.4071
3,0.4151
4,0.4152
5,0.4252
6,0.4212
7,0.4305
8,0.4241
9,0.4269
10,0.4276
11,0.4262
12,0.4145
13,0.3879
0,0.3288
1,0.4786
2,0.4853
3,0.4953
4,0.4980
5,0.4983
6,0.5040
7,0.5001
8,0.5033
9,0.5006
10,0.4978
11,0.4971
12,0.4868
13,0.3507
0,0.2539
1,0.2747
2,0.2613
3,0.2461
4,0.2397
5,0.2388
6,0.2422
7,0.2328
8,0.2317
9,0.2341
10,0.2293
11,0.2275
12,0.2387
13,0.3163
0,0.3726
1,0.5126
2,0.5366
3,0.5432
4,0.5411
5,0.5479
6,0.5557
7,0.5593
8,0.5673
9,0.5732
10,0.5698
11,0.5728
12,0.5750
13,0.4424
0,0.4422
1,0.4780
2,0.5900
3,0.5313
4,0.6080
5,0.5126
6,0.6114
7,0.5147
8,0.6318
9,0.5428
10,0.5989
11,0.5161
12,0.6059
13,0.5048
0,0.9143
1,1.0975
2,1.0212
3,1.0371
4,0.9680
5,1.0696
6,0.9481
7,1.0623
8,0.9401
9,1.0032
10,0.9478
11,1.0766
12,0.9418
13,0.9493
0,0.8900
1,0.8813
2,0.5897
3,0.8209
4,0.3849
5,0.8916
6,0.3496
7,0.9375
8,0.2956
9,0.7695
10,0.2579
11,0.9297
12,0.3362
13,1.3010
0,0.9969
1,1.2262
2,1.0099
3,1.0785
4,0.9175
5,1.1368
6,0.9286
7,1.1285
8,0.9339
9,1.0146
10,0.8581
11,1.1309
12,0.8434
13,0.8594
0,-0.0882
1,-0.0796
2,-0.0332
3,-0.0536
4,-0.0559
5,-0.0271
6,-0.0395
7,-0.0129
8,-0.0275
9,-0.0978
10,-0.0672
11,-0.0563
12,-0.0567
13,-0.2459
0,0.9282
1,0.9100
2,0.8183
3,0.8860
4,0.8190
5,0.9903
6,0.8161
7,0.9988
8,0.8607
9,0.8920
10,0.7710
11,1.0339
12,0.8139
13,0.8454
0,0.5133
1,0.4217
2,0.4169
3,0.4326
4,0.4200
5,0.4279
6,0.3726
7,0.4237
8,0.3939
9,0.4053
10,0.3514
11,0.3861
12,0.3992
13,0.4083
0,0.5083
1,0.4201
2,0.4824
3,0.4265
4,0.4573
5,0.3956
6,0.4509
7,0.4099
8,0.4945
9,0.4069
10,0.4544
11,0.4314
12,0.5430
13,0.4805
0,0.2342
1,0.2996
2,0.2918
3,0.2928
4,0.2881
5,0.2862
6,0.2792
7,0.2971
8,0.2688
9,0.3027
10,0.2817
11,0.2828
12,0.2660
13,0.2782
0,0.1944
1,0.2194
2,0.1806
3,0.2015
4,0.1780
5,0.2180
6,0.1749
7,0.2183
8,0.1764
9,0.2151
10,0.1835
11,0.2205
12,0.1865
13,0.2292
0,0.1321
1,0.1470
2,0.1608
3,0.1655
4,0.1490
5,0.1628
6,0.1466
7,0.1679
8,0.1611
9,0.1582
10,0.1502
11,0.1678
12,0.1636
13,0.1615
0,0.3691
1,0.4281
2,0.4093
3,0.4155
4,0.4087
5,0.4294
6,0.4181
7,0.4336
8,0.4149
9,0.4196
10,0.4119
11,0.4200
12,0.4098
13,0.3862
