frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1518,-0.0013
2,0.1455,0.0020
3,0.1500,0.0103
4,0.1417,0.0120
5,0.1412,0.0118
6,0.1408,0.0115
7,0.1497,0.0191
8,0.1475,0.0222
9,0.1474,0.0223
10,0.1487,0.0256
11,0.1524,0.0244
12,0.1491,0.0229
13,0.0219,-0.0717
0,0.1236,0.0380
1,0.2385,0.1165
2,0.2368,0.1157
3,0.2321,0.1093
4,0.2353,0.1126
5,0.2439,0.1197
6,0.2405,0.1214
7,0.2512,0.1255
8,0.2488,0.1257
9,0.2601,0.1321
10,0.2581,0.1369
11,0.2579,0.1348
12,0.2606,0.1437
13,0.1718,0.0751
0,-0.0143,0.0065
1,-0.1578,-0.1088
2,-0.0527,-0.0320
3,-0.1036,-0.0624
4,-0.0352,-0.0157
5,-0.1565,-0.0964
6,-0.0196,-0.0022
7,-0.1540,-0.1005
8,-0.0240,-0.0088
9,-0.1093,-0.0620
10,-0.0321,-0.0124
11,-0.1492,-0.0940
12,-0.0065,0.0122
13,0.0079,0.0284
0,0.0805,-0.1390
1,0.1175,-0.1386
2,0.0880,-0.1487
3,0.0954,-0.1445
4,0.0770,-0.1474
5,0.1108,-0.1407
6,0.0721,-0.1470
7,0.0992,-0.1506
8,0.0707,-0.1474
9,0.0818,-0.1501
10,0.0673,-0.1493
11,0.1113,-0.1383
12,0.0711,-0.1519
13,0.0962,-0.1422
0,1.0169,1.1486
1,0.9486,1.0678
2,0.7020,0.8420
3,0.8566,0.9382
4,0.6106,0.7726
5,0.8850,0.9581
6,0.6387,0.8159
7,0.8891,0.9708
8,0.5938,0.7717
9,0.8385,0.9155
10,0.5888,0.7614
11,0.8339,0.9084
12,0.6955,0.8689
13,1.0175,1.1056
0,0.4012,0.5403
1,0.5850,0.6818
2,0.3809,0.5958
3,0.4570,0.6264
4,0.3584,0.5923
5,0.5408,0.6580
6,0.3690,0.5857
7,0.5181,0.6367
8,0.3716,0.5751
9,0.4356,0.5867
10,0.3249,0.5503
11,0.5052,0.6186
12,0.3355,0.5096
13,0.4452,0.5366
0,-0.0274,0.1193
1,-0.0663,0.1131
2,0.0143,0.1064
3,-0.0318,0.1149
4,-0.0015,0.1047
5,-0.0456,0.1252
6,0.0126,0.1057
7,-0.0448,0.1225
8,-0.0047,0.1038
9,-0.0489,0.1143
10,0.0206,0.1023
11,-0.0298,0.1256
12,0.0481,0.1067
13,-0.0821,0.0956
0,0.2982,0.4022
1,0.2793,0.3945
2,0.2446,0.3733
3,0.2466,0.3748
4,0.2606,0.3932
5,0.3090,0.4245
6,0.2953,0.4168
7,0.3124,0.4263
8,0.2932,0.4159
9,0.2893,0.4054
10,0.2320,0.3513
11,0.3088,0.4333
12,0.2874,0.3933
13,0.3043,0.4122
0,0.0644,0.0853
1,0.0446,0.0815
2,0.0132,0.0560
3,0.0400,0.0799
4,-0.0198,0.0454
5,0.0561,0.0875
6,-0.0084,0.0527
7,0.0546,0.0906
8,-0.0060,0.0532
9,0.0428,0.0860
10,0.0205,0.0796
11,0.0368,0.0875
12,0.0433,0.0619
13,0.0554,0.0733
0,0.2793,0.2418
1,0.2472,0.2132
2,0.2701,0.2240
3,0.2491,0.2151
4,0.2626,0.2186
5,0.2438,0.2080
6,0.2663,0.2185
7,0.2505,0.2132
8,0.2863,0.2361
9,0.2556,0.2205
10,0.2773,0.2380
11,0.2694,0.2262
12,0.3026,0.2592
13,0.2751,0.2466
0,0.1528,0.0830
1,0.1829,0.0904
2,0.1803,0.1030
3,0.1658,0.0777
4,0.1718,0.0958
5,0.1628,0.0672
6,0.1676,0.0919
7,0.1680,0.0710
8,0.1730,0.0950
9,0.1668,0.0736
10,0.1773,0.0952
11,0.1702,0.0729
12,0.1842,0.1069
13,0.1754,0.0986
0,0.0248,-0.0617
1,0.0597,-0.0537
2,0.0670,-0.0380
3,0.0659,-0.0475
4,0.0669,-0.0396
5,0.0660,-0.0539
