frame_idx,FirstFrame_sim,EndFrame_sim
1,0.2122,0.2813
2,0.1966,0.2682
3,0.1851,0.2537
4,0.1833,0.2456
5,0.1822,0.2445
6,0.1841,0.2478
7,0.1767,0.2380
8,0.1774,0.2352
9,0.1769,0.2357
10,0.1728,0.2293
11,0.1730,0.2271
12,0.1839,0.2393
13,0.2302,0.3003
0,0.2282,0.3669
1,0.2888,0.5166
2,0.2930,0.5408
3,0.3030,0.5566
4,0.2957,0.5477
5,0.3010,0.5582
6,0.3071,0.5671
7,0.3144,0.5757
8,0.3134,0.5731
9,0.3180,0.5829
10,0.3134,0.5753
11,0.3136,0.5723
12,0.3211,0.5830
13,0.2888,0.4548
0,0.2394,0.4337
1,0.2757,0.4672
2,0.3486,0.5886
3,0.3101,0.5289
4,0.3524,0.6076
5,0.2970,0.5108
6,0.3583,0.6177
7,0.2990,0.5182
8,0.3759,0.6359
9,0.3135,0.5356
10,0.3363,0.5911
11,0.2855,0.5016
12,0.3426,0.5979
13,0.2784,0.4863
0,0.6437,0.9065
1,0.7772,1.1013
2,0.7352,1.0371
3,0.7415,1.0478
4,0.7034,0.9931
5,0.7590,1.0758
6,0.6874,0.9691
7,0.7569,1.0746
8,0.6780,0.9580
9,0.7116,1.0051
10,0.6695,0.9471
11,0.7531,1.0674
12,0.6762,0.9513
13,0.6575,0.9372
0,0.4751,0.8923
1,0.4494,0.8319
2,0.3081,0.6344
3,0.4926,0.8979
4,0.1778,0.4440
5,0.5177,0.9463
6,0.1727,0.4392
7,0.5108,0.9398
8,0.1090,0.3344
9,0.4262,0.8212
10,-0.0002,0.1991
11,0.5004,0.9570
12,0.0375,0.2505
13,0.6728,1.2124
0,0.6906,1.0454
1,0.8428,1.2455
2,0.6999,1.0381
3,0.7709,1.1251
4,0.6594,0.9472
5,0.8027,1.1898
6,0.6714,0.9675
7,0.8149,1.2045
8,0.6734,0.9737
9,0.7328,1.0689
10,0.6254,0.8928
11,0.8020,1.1723
12,0.5722,0.8088
13,0.6129,0.8970
0,-0.1305,-0.0913
1,-0.0828,-0.0452
2,-0.0898,-0.0541
3,-0.0780,-0.0437
4,-0.1411,-0.1140
5,-0.0871,-0.0515
6,-0.1099,-0.0678
7,-0.0679,-0.0207
8,-0.0950,-0.0431
9,-0.1266,-0.1018
10,-0.1147,-0.0762
11,-0.1090,-0.0908
12,-0.1065,-0.0607
13,-0.2072,-0.2507
0,0.6169,0.9463
1,0.6449,0.9483
2,0.5483,0.8588
3,0.6072,0.9066
4,0.5220,0.8316
5,0.6798,1.0098
6,0.5090,0.8191
7,0.6757,0.9995
8,0.5201,0.8397
9,0.6027,0.9125
10,0.4480,0.7370
11,0.7213,1.0687
12,0.4634,0.7779
13,0.6079,0.8852
0,0.2641,0.5229
1,0.1539,0.4501
2,0.1712,0.4158
3,0.1586,0.4319
4,0.1747,0.4022
5,0.1305,0.3928
6,0.1630,0.3784
7,0.1436,0.4091
8,0.1767,0.3732
9,0.1579,0.4012
10,0.1403,0.3484
11,0.1392,0.3877
12,0.2034,0.3977
13,0.2328,0.4842
0,0.2133,0.5068
1,0.1288,0.4051
2,0.1738,0.4658
3,0.1483,0.4251
4,0.1644,0.4560
5,0.1213,0.3931
6,0.1679,0.4566
7,0.1531,0.4248
8,0.1859,0.4799
9,0.1465,0.4092
10,0.1624,0.4456
11,0.1573,0.4290
12,0.2177,0.5289
13,0.2227,0.4834
0,0.1228,0.2445
1,0.1632,0.2992
2,0.1726,0.3032
3,0.1641,0.2958
4,0.1596,0.2913
5,0.1577,0.2948
6,0.1505,0.2844
7,0.1552,0.2898
8,0.1406,0.2751
9,0.1655,0.3051
10,0.1511,0.2840
11,0.1362,0.2803
12,0.1428,0.2743
13,0.1414,0.2832
0,0.0887,0.1994
1,0.0881,0.2264
2,0.0643,0.1865
3,0.0743,0.2074
4,0.0643,0.1842
5,0.0861,0.2218
6,0.0636,0.1876
7,0.0953,0.2248
8,0.0647,0.1844
9,0.0815,0.2213
10,0.0665,0.1820
11,0.0873,0.2286
12,0.0725,0.1799
13,0.0952,0.2305
0,0.0771,0.1327
1,0.0824,0.1573
2,0.0929,0.1697
3,0.0874,0.1647
4,0.1017,0.1693
5,0.0927,0.1716
