frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1919,0.2604
2,0.1800,0.2510
3,0.1697,0.2378
4,0.1683,0.2303
5,0.1695,0.2315
6,0.1746,0.2382
7,0.1690,0.2304
8,0.1695,0.2281
9,0.1721,0.2324
10,0.1697,0.2272
11,0.1722,0.2273
12,0.1822,0.2390
13,0.2265,0.2858
0,0.1862,0.3545
1,0.3009,0.5470
2,0.3011,0.5577
3,0.3051,0.5664
4,0.2986,0.5543
5,0.3029,0.5674
6,0.3057,0.5641
7,0.3144,0.5781
8,0.3168,0.5771
9,0.3207,0.5870
10,0.3203,0.5828
11,0.3183,0.5811
12,0.3202,0.5810
13,0.2921,0.4517
0,0.2513,0.4403
1,0.2673,0.4714
2,0.3268,0.5828
3,0.2872,0.5107
4,0.3351,0.5993
5,0.2657,0.4846
6,0.3348,0.6009
7,0.2734,0.4996
8,0.3531,0.6247
9,0.2916,0.5177
10,0.3236,0.5881
11,0.2721,0.4939
12,0.3318,0.5957
13,0.2514,0.4683
0,0.6412,0.8997
1,0.7880,1.1212
2,0.7268,1.0308
3,0.7349,1.0413
4,0.6883,0.9767
5,0.7669,1.0937
6,0.6839,0.9682
7,0.7679,1.0936
8,0.6962,0.9849
9,0.7278,1.0279
10,0.6892,0.9769
11,0.7833,1.1119
12,0.6979,0.9823
13,0.7139,1.0115
0,0.2022,0.5022
1,0.4164,0.8375
2,-0.0004,0.1642
3,0.3110,0.6401
4,-0.0387,0.1065
5,0.4829,0.9328
6,-0.0461,0.1027
7,0.4388,0.8580
8,-0.0210,0.1573
9,0.3339,0.7001
10,-0.1019,0.0422
11,0.4400,0.8920
12,-0.0762,0.0866
13,0.5986,1.1236
0,0.6043,0.8751
1,0.8321,1.2191
2,0.6581,0.9264
3,0.7247,1.0225
4,0.6309,0.8719
5,0.7690,1.1101
6,0.6482,0.9038
7,0.7479,1.0772
8,0.6283,0.8721
9,0.6905,0.9777
10,0.6062,0.8325
11,0.7763,1.1138
12,0.5356,0.7277
13,0.6591,0.9617
0,-0.1786,-0.1460
1,-0.1231,-0.1109
2,-0.1118,-0.0899
3,-0.1282,-0.1109
4,-0.1139,-0.0859
5,-0.0866,-0.0569
6,-0.1093,-0.0731
7,-0.0931,-0.0692
8,-0.0936,-0.0579
9,-0.1288,-0.1136
10,-0.0848,-0.0507
11,-0.1154,-0.1181
12,-0.0811,-0.0349
13,-0.1711,-0.1999
0,0.4458,0.7424
1,0.5565,0.8329
2,0.4205,0.6881
3,0.5110,0.7812
4,0.4572,0.7340
5,0.6389,0.9527
6,0.4371,0.7159
7,0.6490,0.9683
8,0.4776,0.7806
9,0.5264,0.8039
10,0.4028,0.6655
11,0.7038,1.0419
12,0.3890,0.6725
13,0.6277,0.9332
0,0.1694,0.3825
1,0.1227,0.3915
2,0.0920,0.3140
3,0.1069,0.3721
4,0.0898,0.3109
5,0.1439,0.4267
6,0.0754,0.2847
7,0.1154,0.3768
8,0.0955,0.2913
9,0.0995,0.3417
10,0.0656,0.2858
11,0.0967,0.3600
12,0.1314,0.3336
13,0.1475,0.3908
0,0.1516,0.4341
1,0.0965,0.3847
2,0.1159,0.4202
3,0.0835,0.3657
4,0.1041,0.3924
5,0.0963,0.3794
6,0.1122,0.3934
7,0.1118,0.3876
8,0.1381,0.4321
9,0.1223,0.3988
10,0.1213,0.4060
11,0.1237,0.3996
