frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1146,0.0419
2,0.1163,0.0393
3,0.0866,0.0162
4,0.0850,0.0171
5,0.0786,0.0122
6,0.0933,0.0227
7,0.0679,0.0001
8,0.0805,0.0109
9,0.0897,0.0196
10,0.0844,0.0135
11,0.0637,-0.0073
12,0.1001,0.0269
13,0.3835,0.3101
0,0.4203,0.3360
1,0.6284,0.4759
2,0.6501,0.5001
3,0.6631,0.5072
4,0.6589,0.5064
5,0.6625,0.5084
6,0.6609,0.5113
7,0.6770,0.5185
8,0.6760,0.5218
9,0.6782,0.5206
10,0.6606,0.5111
11,0.6567,0.5077
12,0.6627,0.5229
13,0.4634,0.3640
0,0.4084,0.3259
1,0.3923,0.3198
2,0.5236,0.4328
3,0.4216,0.3386
4,0.5385,0.4353
5,0.3984,0.3176
6,0.5567,0.4493
7,0.4125,0.3367
8,0.5751,0.4636
9,0.4558,0.3600
10,0.5468,0.4367
11,0.3985,0.3213
12,0.5655,0.4425
13,0.3841,0.2899
0,0.5238,0.1510
1,0.6118,0.1777
2,0.5765,0.1672
3,0.6019,0.1807
4,0.5634,0.1679
5,0.6199,0.1900
6,0.5514,0.1633
7,0.6076,0.1824
8,0.5569,0.1662
9,0.5874,0.1790
10,0.5535,0.1600
11,0.6239,0.1941
12,0.5503,0.1658
13,0.6135,0.2033
0,0.6863,0.5059
1,0.7021,0.5540
2,0.3794,0.2439
3,0.6533,0.5155
4,0.2983,0.1602
5,0.6489,0.5150
6,0.2507,0.1185
7,0.6678,0.5387
8,0.2453,0.1109
9,0.6474,0.5013
10,0.2665,0.1263
11,0.6109,0.4843
12,0.2358,0.0740
13,0.8231,0.6635
0,0.4305,0.5465
1,0.5631,0.6903
2,0.4025,0.5451
3,0.4945,0.6261
4,0.3829,0.5219
5,0.5365,0.6579
6,0.3866,0.5219
7,0.5178,0.6343
8,0.3941,0.5237
9,0.4525,0.5670
10,0.3398,0.4758
11,0.5244,0.6334
