frame_idx,FirstFrame_sim,EndFrame_sim
6,-0.0206,0.0000
7,-0.1562,-0.0966
8,-0.0147,0.0037
9,-0.1060,-0.0517
10,-0.0208,0.0003
11,-0.1587,-0.0925
12,-0.0177,0.0077
13,-0.0122,0.0316
0,0.0856,-0.1251
1,0.1063,-0.1433
2,0.0757,-0.1480
3,0.0858,-0.1498
4,0.0685,-0.1457
5,0.0983,-0.1490
6,0.0662,-0.1429
7,0.0875,-0.1575
8,0.0689,-0.1418
9,0.0788,-0.1542
10,0.0620,-0.1455
11,0.1050,-0.1496
12,0.0647,-0.1464
13,0.0946,-0.1518
0,0.8626,0.9650
1,0.9232,1.0904
2,0.6701,0.8619
3,0.8306,0.9651
4,0.6040,0.8174
5,0.9021,1.0042
6,0.6270,0.8316
7,0.9209,1.0098
8,0.5582,0.7842
9,0.8092,0.9162
10,0.4731,0.7151
11,0.8870,0.9784
12,0.4652,0.7490
13,1.0290,1.1285
0,0.4848,0.5730
1,0.5709,0.6837
2,0.4069,0.6169
3,0.4564,0.6160
4,0.3761,0.6005
5,0.5323,0.6557
6,0.3791,0.5931
7,0.5210,0.6417
8,0.3938,0.5921
9,0.4429,0.5881
10,0.3517,0.5735
11,0.5601,0.6476
12,0.3090,0.5141
13,0.4588,0.5399
0,-0.1242,0.0795
1,-0.1113,0.1040
2,-0.0445,0.0658
3,-0.0837,0.0900
4,-0.0526,0.0723
5,-0.0721,0.1169
6,-0.0523,0.0736
7,-0.0702,0.1208
8,-0.0627,0.0709
9,-0.0876,0.0998
10,-0.0499,0.0776
11,-0.0663,0.1301
12,-0.0001,0.0733
13,-0.1097,0.0674
0,0.3501,0.4465
1,0.3193,0.4284
2,0.2918,0.4089
3,0.3161,0.4082
4,0.2946,0.4160
5,0.3466,0.4373
6,0.2849,0.4120
7,0.3645,0.4427
8,0.3069,0.4295
9,0.3231,0.4169
10,0.2263,0.3633
11,0.3625,0.4524
12,0.2886,0.4046
13,0.3835,0.4600
0,0.0277,0.0371
1,0.0441,0.0539
2,-0.0033,0.0368
3,0.0630,0.0782
4,-0.0036,0.0377
5,0.0792,0.0870
6,-0.0298,0.0176
7,0.0780,0.0829
8,-0.0427,0.0062
9,0.0434,0.0689
10,-0.0307,0.0304
11,0.0634,0.0884
12,-0.0061,0.0165
13,0.0729,0.0573
0,0.3153,0.2698
1,0.2759,0.2307
2,0.2721,0.2227
3,0.2511,0.2021
4,0.2525,0.2045
5,0.2392,0.1896
6,0.2661,0.2129
7,0.2469,0.1994
8,0.3012,0.2425
9,0.2706,0.2182
10,0.2953,0.2561
11,0.2817,0.2278
12,0.3416,0.2957
13,0.3112,0.2694
0,0.1655,0.1007
1,0.1764,0.0988
2,0.1886,0.1102
3,0.1702,0.0813
4,0.1900,0.1095
5,0.1706,0.0744
6,0.1908,0.1074
7,0.1795,0.0905
8,0.1967,0.1130
9,0.1777,0.0786
10,0.1926,0.1081
11,0.1810,0.0829
12,0.2004,0.1223
13,0.1827,0.0945
0,-0.0475,-0.1107
1,0.0511,-0.0555
2,0.0335,-0.0574
3,0.0726,-0.0387
4,0.0399,-0.0588
5,0.0776,-0.0480
6,0.0348,-0.0654
7,0.0865,-0.0379
8,0.0365,-0.0637
9,0.0732,-0.0519
10,0.0396,-0.0724
11,0.0804,-0.0474
12,0.0390,-0.0604
13,0.0708,-0.0435
0,0.1572,0.1093
1,0.1228,0.0888
2,0.1679,0.1271
3,0.1521,0.1127
4,0.1835,0.1383
5,0.1605,0.1103
6,0.1950,0.1449
7,0.1542,0.1084
8,0.1964,0.1431
9,0.1654,0.1228
10,0.1832,0.1393
11,0.1476,0.1007
12,0.1849,0.1310
13,0.1158,0.0950
0,0.2742,0.1259
1,0.2864,0.1292
2,0.2755,0.1223
3,0.2842,0.1270
4,0.2772,0.1207
5,0.2875,0.1264
6,0.2771,0.1210
7,0.2904,0.1272
8,0.2745,0.1198
9,0.2835,0.1252
10,0.2751,0.1217
