frame_idx,FirstFrame_sim,EndFrame_sim
6,-0.0181,-0.0003
7,-0.1502,-0.0987
8,-0.0121,0.0018
9,-0.1093,-0.0624
10,-0.0221,-0.0038
11,-0.1464,-0.0943
12,-0.0220,-0.0022
13,0.0012,0.0244
0,0.0868,-0.1303
1,0.1136,-0.1420
2,0.0860,-0.1525
3,0.0916,-0.1504
4,0.0765,-0.1434
5,0.1100,-0.1385
6,0.0709,-0.1399
7,0.0946,-0.1467
8,0.0683,-0.1439
9,0.0833,-0.1453
10,0.0650,-0.1419
11,0.1079,-0.1385
12,0.0684,-0.1415
13,0.0968,-0.1386
0,0.9578,1.1175
1,0.9220,1.0740
2,0.6749,0.8511
3,0.8702,0.9683
4,0.6497,0.8173
5,0.8954,0.9814
6,0.6719,0.8284
7,0.8557,0.9598
8,0.6139,0.7941
9,0.7998,0.9032
10,0.5853,0.7804
11,0.8211,0.9077
12,0.4990,0.7417
13,0.9743,1.0513
0,0.4084,0.5427
1,0.5596,0.6594
2,0.4043,0.6035
3,0.4811,0.6286
4,0.3744,0.5950
5,0.5311,0.6521
6,0.4213,0.6181
7,0.5196,0.6390
8,0.4027,0.5978
9,0.4267,0.5890
10,0.3510,0.5622
11,0.5142,0.6192
12,0.2878,0.5010
13,0.4381,0.5301
0,0.0160,-0.0966
0,-0.0682,0.1011
1,0.1523,-0.0029
1,-0.0649,0.1091
2,0.1456,0.0025
2,0.0062,0.0972
3,0.1505,0.0103
3,-0.0458,0.1083
4,0.1416,0.0112
4,-0.0143,0.0941
5,0.1408,0.0110
5,-0.0515,0.1210
6,0.1401,0.0106
6,-0.0025,0.0998
7,0.1494,0.0181
7,-0.0398,0.1225
8,0.1464,0.0212
8,-0.0062,0.0984
9,0.1464,0.0206
9,-0.0306,0.1127
10,0.1476,0.0237
10,0.0309,0.1062
11,0.1511,0.0229
11,-0.0226,0.1213
12,0.1479,0.0233
12,0.0610,0.1047
13,0.0446,-0.0561
13,-0.0903,0.0865
0,0.2777,0.3768
1,0.2814,0.3853
2,0.2486,0.3672
3,0.2626,0.3783
4,0.2581,0.3881
5,0.2938,0.4065
6,0.2702,0.4020
7,0.3168,0.4327
8,0.2919,0.4188
0,0.1290,0.0446
9,0.2941,0.4063
1,0.2377,0.1195
10,0.2267,0.3541
2,0.2314,0.1136
11,0.3342,0.4551
3,0.2320,0.1105
12,0.2699,0.3948
4,0.2312,0.1117
13,0.2909,0.3939
5,0.2437,0.1193
6,0.2405,0.1203
7,0.2498,0.1258
8,0.2453,0.1222
9,0.2593,0.1313
10,0.2553,0.1338
11,0.2601,0.1346
12,0.2602,0.1384
13,0.1683,0.0704
0,0.0783,0.0788
1,0.0561,0.0775
2,0.0309,0.0493
3,0.0483,0.0723
4,-0.0048,0.0315
5,0.0347,0.0639
6,-0.0323,0.0224
7,0.0466,0.0678
8,-0.0292,0.0233
9,0.0384,0.0679
10,-0.0152,0.0469
11,0.0464,0.0932
0,-0.0115,0.0118
12,-0.0025,0.0345
1,-0.1451,-0.0950
13,0.0615,0.0533
2,-0.0503,-0.0305
3,-0.1039,-0.0615
4,-0.0300,-0.0142
5,-0.1484,-0.0912
6,-0.0110,0.0018
7,-0.1445,-0.0990
8,-0.0146,-0.0019
9,-0.0964,-0.0547
10,-0.0156,-0.0019
11,-0.1423,-0.0919
12,-0.0213,-0.0016
13,0.0138,0.0309
0,0.2777,0.2413
1,0.2531,0.2207
2,0.2769,0.2281
3,0.2477,0.2088
4,0.2558,0.2091
