frame_idx,FirstFrame_sim,EndFrame_sim
11,0.3040,0.5195
12,0.3549,0.6068
13,0.2916,0.5099
0,0.6404,0.9021
1,0.7824,1.1083
2,0.7308,1.0313
3,0.7326,1.0327
4,0.6929,0.9776
5,0.7533,1.0696
6,0.6773,0.9547
7,0.7524,1.0684
8,0.6770,0.9548
9,0.7162,1.0106
10,0.6741,0.9529
11,0.7591,1.0758
12,0.6781,0.9540
13,0.6761,0.9643
0,0.5069,0.9421
1,0.3981,0.7715
2,0.2220,0.5166
3,0.4209,0.8022
4,0.1038,0.3269
5,0.4984,0.9441
6,0.0991,0.3449
7,0.4993,0.9536
8,0.1291,0.3902
9,0.3303,0.7070
10,0.0897,0.3529
11,0.4748,0.9387
12,0.2195,0.5703
13,0.6550,1.2107
0,0.6706,1.0118
1,0.8273,1.2203
2,0.6955,1.0183
3,0.7540,1.0941
4,0.6444,0.9261
5,0.7637,1.1255
6,0.6460,0.9366
7,0.7530,1.1118
8,0.6474,0.9439
9,0.7047,1.0227
10,0.5876,0.8395
11,0.7525,1.0938
12,0.5585,0.8164
13,0.6032,0.8806
0,-0.0923,-0.0382
1,-0.0532,-0.0000
2,-0.0358,0.0234
3,-0.0613,-0.0112
4,-0.0874,-0.0454
5,-0.0451,0.0084
6,-0.0841,-0.0341
7,-0.0294,0.0309
8,-0.0884,-0.0419
9,-0.1122,-0.0776
10,-0.0912,-0.0496
11,-0.0598,-0.0173
12,-0.0714,-0.0155
13,-0.1810,-0.2116
0,0.6202,0.9502
1,0.6128,0.9037
2,0.4868,0.7780
3,0.5925,0.8905
4,0.5032,0.8068
5,0.6736,1.0003
6,0.4937,0.8054
7,0.6628,0.9809
8,0.5109,0.8309
9,0.5800,0.8817
10,0.4893,0.7853
11,0.6814,1.0183
12,0.5614,0.8961
13,0.5874,0.8633
0,0.2807,0.5478
1,0.1352,0.4151
2,0.1745,0.4132
3,0.1621,0.4349
4,0.1808,0.4098
5,0.1691,0.4394
6,0.1614,0.3643
7,0.1636,0.4262
8,0.1797,0.3691
9,0.1818,0.4228
10,0.1674,0.3791
11,0.1475,0.3883
12,0.2105,0.4029
13,0.2246,0.4650
0,0.2137,0.5017
1,0.1167,0.3910
2,0.1626,0.4547
3,0.1385,0.4122
4,0.1415,0.4332
5,0.1383,0.4082
6,0.1618,0.4505
7,0.1464,0.4136
8,0.1827,0.4728
9,0.1506,0.4140
10,0.1670,0.4472
11,0.1560,0.4259
12,0.2182,0.5176
13,0.2217,0.4742
