module_name,EndFrame_sim
down_blocks.0.attentions.0.temporal_transformer_blocks.0.attn2,0.004749936517328024
down_blocks.0.attentions.1.temporal_transformer_blocks.0.attn2,0.11375869810581207
down_blocks.1.attentions.0.temporal_transformer_blocks.0.attn2,-0.037799444049596786
down_blocks.1.attentions.1.temporal_transformer_blocks.0.attn2,-0.14135995507240295
down_blocks.2.attentions.0.temporal_transformer_blocks.0.attn2,0.9492279887199402
down_blocks.2.attentions.1.temporal_transformer_blocks.0.attn2,0.5538226366043091
mid_block.attentions.0.temporal_transformer_blocks.0.attn2,0.10736524313688278
up_blocks.1.attentions.0.temporal_transformer_blocks.0.attn2,0.40235045552253723
up_blocks.1.attentions.1.temporal_transformer_blocks.0.attn2,0.06602150201797485
up_blocks.1.attentions.2.temporal_transformer_blocks.0.attn2,0.2256719470024109
up_blocks.2.attentions.0.temporal_transformer_blocks.0.attn2,0.08909589797258377
up_blocks.2.attentions.1.temporal_transformer_blocks.0.attn2,-0.0488319918513298
up_blocks.2.attentions.2.temporal_transformer_blocks.0.attn2,0.11402586847543716
up_blocks.3.attentions.0.temporal_transformer_blocks.0.attn2,0.10739630460739136
up_blocks.3.attentions.1.temporal_transformer_blocks.0.attn2,0.08188071101903915
up_blocks.3.attentions.2.temporal_transformer_blocks.0.attn2,0.02619064226746559
down_blocks.0.attentions.0.temporal_transformer_blocks.0.attn2,0.004910253919661045
down_blocks.0.attentions.1.temporal_transformer_blocks.0.attn2,0.11356419324874878
down_blocks.1.attentions.0.temporal_transformer_blocks.0.attn2,-0.03714292123913765
down_blocks.1.attentions.1.temporal_transformer_blocks.0.attn2,-0.14038050174713135
down_blocks.2.attentions.0.temporal_transformer_blocks.0.attn2,0.948332667350769
down_blocks.2.attentions.1.temporal_transformer_blocks.0.attn2,0.558097243309021
mid_block.attentions.0.temporal_transformer_blocks.0.attn2,0.11122409254312515
up_blocks.1.attentions.0.temporal_transformer_blocks.0.attn2,0.40708914399147034
up_blocks.1.attentions.1.temporal_transformer_blocks.0.attn2,0.06392000615596771
up_blocks.1.attentions.2.temporal_transformer_blocks.0.attn2,0.2252429574728012
up_blocks.2.attentions.0.temporal_transformer_blocks.0.attn2,0.08941186219453812
up_blocks.2.attentions.1.temporal_transformer_blocks.0.attn2,-0.046764012426137924
up_blocks.2.attentions.2.temporal_transformer_blocks.0.attn2,0.11323848366737366
up_blocks.3.attentions.0.temporal_transformer_blocks.0.attn2,0.10737361013889313
up_blocks.3.attentions.1.temporal_transformer_blocks.0.attn2,0.08177297562360764
up_blocks.3.attentions.2.temporal_transformer_blocks.0.attn2,0.0261392779648304
down_blocks.0.attentions.0.temporal_transformer_blocks.0.attn2,0.005060757510364056
down_blocks.0.attentions.1.temporal_transformer_blocks.0.attn2,0.11334443837404251
down_blocks.1.attentions.0.temporal_transformer_blocks.0.attn2,-0.03633904457092285
down_blocks.1.attentions.1.temporal_transformer_blocks.0.attn2,-0.13929897546768188
down_blocks.2.attentions.0.temporal_transformer_blocks.0.attn2,0.9474628567695618
down_blocks.2.attentions.1.temporal_transformer_blocks.0.attn2,0.5631953477859497
mid_block.attentions.0.temporal_transformer_blocks.0.attn2,0.1155502125620842
up_blocks.1.attentions.0.temporal_transformer_blocks.0.attn2,0.4120626449584961
up_blocks.1.attentions.1.temporal_transformer_blocks.0.attn2,0.06184162572026253
up_blocks.1.attentions.2.temporal_transformer_blocks.0.attn2,0.22490957379341125
up_blocks.2.attentions.0.temporal_transformer_blocks.0.attn2,0.08970802277326584
up_blocks.2.attentions.1.temporal_transformer_blocks.0.attn2,-0.044602204114198685
up_blocks.2.attentions.2.temporal_transformer_blocks.0.attn2,0.11244488507509232
up_blocks.3.attentions.0.temporal_transformer_blocks.0.attn2,0.10723050683736801
up_blocks.3.attentions.1.temporal_transformer_blocks.0.attn2,0.08165576308965683
up_blocks.3.attentions.2.temporal_transformer_blocks.0.attn2,0.02604028396308422
down_blocks.0.attentions.0.temporal_transformer_blocks.0.attn2,0.005206689704209566
