frame_idx,FirstFrame_sim,EndFrame_sim
1,0.2138,0.2858
2,0.1978,0.2723
3,0.1854,0.2558
4,0.1833,0.2474
5,0.1820,0.2462
6,0.1841,0.2491
7,0.1758,0.2386
8,0.1761,0.2356
9,0.1760,0.2381
10,0.1722,0.2320
11,0.1731,0.2311
12,0.1829,0.2422
13,0.2213,0.2792
0,0.2304,0.3631
1,0.2953,0.5237
2,0.2940,0.5409
3,0.3010,0.5546
4,0.3011,0.5521
5,0.3034,0.5593
6,0.3030,0.5577
7,0.3094,0.5669
8,0.3143,0.5725
9,0.3232,0.5895
10,0.3194,0.5821
11,0.3175,0.5804
12,0.3134,0.5736
13,0.3210,0.5663
0,0.2560,0.4695
1,0.3064,0.5006
2,0.3455,0.5927
3,0.3182,0.5429
4,0.3626,0.6255
5,0.3084,0.5286
6,0.3620,0.6279
7,0.3093,0.5338
8,0.3766,0.6405
9,0.3263,0.5530
10,0.3425,0.6058
11,0.3028,0.5323
12,0.3522,0.6195
13,0.2765,0.5132
0,0.6409,0.8952
1,0.7809,1.0984
2,0.7383,1.0362
3,0.7313,1.0274
4,0.6958,0.9763
5,0.7499,1.0573
6,0.6814,0.9588
7,0.7454,1.0512
8,0.6778,0.9519
9,0.7067,0.9887
10,0.6692,0.9428
11,0.7585,1.0675
12,0.6672,0.9349
13,0.7113,0.9966
0,0.4887,0.8812
1,0.5475,0.9847
2,0.2847,0.5646
3,0.5142,0.9023
4,0.1104,0.2996
5,0.5385,0.9551
6,0.1040,0.2955
7,0.5450,0.9867
8,0.0740,0.2463
9,0.4518,0.8337
10,-0.0214,0.1097
11,0.5103,0.9459
12,0.0142,0.1563
13,0.4365,0.7674
0,0.6559,0.9795
1,0.8129,1.1910
2,0.6630,0.9647
3,0.7222,1.0363
4,0.6133,0.8632
5,0.7414,1.0785
6,0.6255,0.8836
7,0.7358,1.0675
8,0.6168,0.8726
9,0.6757,0.9677
10,0.5989,0.8439
11,0.7400,1.0532
12,0.5357,0.7434
