frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1212,0.0469
2,0.1143,0.0370
3,0.0934,0.0210
4,0.0935,0.0232
5,0.0850,0.0166
6,0.0969,0.0249
7,0.0760,0.0057
8,0.0853,0.0136
9,0.0888,0.0178
10,0.0810,0.0098
11,0.0609,-0.0102
12,0.0955,0.0222
13,0.3998,0.3171
0,0.3968,0.3150
1,0.6014,0.4549
2,0.6436,0.4953
3,0.6542,0.5004
4,0.6518,0.5026
5,0.6622,0.5104
6,0.6673,0.5191
7,0.6734,0.5166
8,0.6740,0.5220
9,0.6805,0.5232
10,0.6691,0.5201
11,0.6639,0.5134
12,0.6640,0.5240
13,0.4462,0.3487
0,0.3996,0.2989
1,0.3779,0.3060
2,0.5203,0.4362
3,0.4315,0.3526
4,0.5506,0.4497
5,0.4163,0.3379
6,0.5612,0.4561
7,0.4187,0.3445
8,0.5785,0.4683
9,0.4557,0.3639
10,0.5450,0.4404
11,0.4087,0.3323
12,0.5675,0.4499
13,0.4280,0.3300
0,0.5494,0.1829
1,0.6202,0.1937
2,0.5946,0.1875
3,0.6093,0.1945
4,0.5667,0.1753
5,0.6166,0.1984
6,0.5544,0.1700
7,0.6096,0.1910
8,0.5516,0.1675
9,0.5880,0.1855
10,0.5501,0.1653
11,0.6171,0.1962
12,0.5531,0.1709
13,0.5817,0.1911
0,0.7723,0.5937
1,0.6967,0.5653
2,0.5338,0.3961
3,0.6768,0.5489
4,0.3861,0.2471
5,0.6567,0.5289
6,0.3219,0.1685
7,0.6725,0.5398
8,0.3237,0.1716
9,0.6077,0.4555
10,0.2748,0.1238
11,0.6067,0.4704
12,0.3015,0.1467
13,0.7428,0.5897
0,0.4378,0.5422
1,0.5209,0.6414
2,0.4130,0.5528
3,0.5106,0.6365
4,0.3987,0.5392
5,0.5360,0.6553
6,0.4116,0.5480
7,0.5264,0.6381
8,0.4117,0.5409
9,0.4804,0.5965
10,0.3721,0.5102
11,0.5301,0.6418
12,0.3615,0.4901
13,0.4324,0.5307
0,-0.0744,-0.1711
1,-0.0667,-0.1650
2,-0.0218,-0.0763
3,-0.0424,-0.1364
4,-0.0201,-0.0812
5,-0.0524,-0.1496
6,-0.0147,-0.0696
7,-0.0517,-0.1507
8,-0.0167,-0.0731
9,-0.0482,-0.1373
10,-0.0134,-0.0623
11,-0.0615,-0.1579
12,-0.0210,-0.0646
13,-0.0712,-0.1580
0,0.4450,0.2840
1,0.3638,0.1935
2,0.3110,0.1579
3,0.3919,0.2317
4,0.3244,0.1698
5,0.4200,0.2524
6,0.3491,0.1852
7,0.4160,0.2507
8,0.3442,0.1929
9,0.3829,0.2252
10,0.2776,0.1325
11,0.4350,0.2723
12,0.3383,0.1888
13,0.4249,0.2587
0,0.3856,0.3869
1,0.2491,0.2526
2,0.2149,0.2376
3,0.2631,0.2727
4,0.1756,0.2039
5,0.2799,0.2845
6,0.1572,0.1907
7,0.2808,0.2788
8,0.1610,0.1980
9,0.2058,0.2226
10,0.1177,0.1504
11,0.2440,0.2490
12,0.2017,0.2368
13,0.3321,0.3490
0,0.2723,0.2345
1,0.2318,0.1841
2,0.2270,0.1847
3,0.2206,0.1706
4,0.2156,0.1764
5,0.2212,0.1737
6,0.1948,0.1649
7,0.2217,0.1729
8,0.2220,0.1881
9,0.1958,0.1559
10,0.2003,0.1636
11,0.2255,0.1792
12,0.2566,0.2188
13,0.2386,0.1909
0,0.3073,0.2323
1,0.3642,0.2837
2,0.3736,0.2938
3,0.3558,0.2727
4,0.3849,0.3025
5,0.3636,0.2812
6,0.3916,0.3081
7,0.3519,0.2643
8,0.3956,0.3139
9,0.3796,0.2958
10,0.3957,0.3127
11,0.3557,0.2732
12,0.4029,0.3220
13,0.3652,0.2889
0,0.4248,0.3324
1,0.4686,0.3604
2,0.4565,0.3411
3,0.4456,0.3350
4,0.4334,0.3210
5,0.4402,0.3315
6,0.4396,0.3250
7,0.4551,0.3401
8,0.4417,0.3217
9,0.4600,0.3408
10,0.4356,0.3275
11,0.4600,0.3455
12,0.4299,0.3189
13,0.4533,0.3508
0,0.2858,0.2403
1,0.3268,0.2847
2,0.3730,0.3271
3,0.3567,0.3130
4,0.3928,0.3440
5,0.3800,0.3371
6,0.3885,0.3380
7,0.3774,0.3384
8,0.3958,0.3480
9,0.3803,0.3319
10,0.3686,0.3239
11,0.3625,0.3212
