frame_idx,FirstFrame_sim,EndFrame_sim
1,0.1509,-0.0041
2,0.1446,-0.0000
3,0.1498,0.0090
4,0.1403,0.0105
5,0.1396,0.0100
6,0.1378,0.0095
7,0.1474,0.0170
8,0.1442,0.0200
9,0.1430,0.0190
10,0.1447,0.0214
11,0.1481,0.0203
12,0.1440,0.0207
13,0.0591,-0.0278
0,0.0991,0.0262
1,0.2335,0.1141
2,0.2303,0.1124
3,0.2325,0.1104
4,0.2300,0.1099
5,0.2417,0.1182
6,0.2350,0.1172
7,0.2468,0.1229
8,0.2449,0.1217
9,0.2551,0.1292
10,0.2517,0.1329
11,0.2588,0.1366
12,0.2620,0.1413
13,0.2646,0.1305
0,-0.0185,0.0156
1,-0.1480,-0.1039
2,-0.0480,-0.0270
3,-0.0862,-0.0442
4,-0.0205,0.0005
5,-0.1355,-0.0761
6,-0.0078,0.0111
7,-0.1433,-0.0892
8,-0.0081,0.0094
9,-0.0994,-0.0492
10,-0.0143,0.0061
11,-0.1156,-0.0641
12,-0.0084,0.0177
13,-0.0137,0.0496
0,0.0877,-0.1248
1,0.1064,-0.1509
2,0.0754,-0.1594
3,0.0816,-0.1568
4,0.0688,-0.1493
5,0.0969,-0.1553
6,0.0637,-0.1454
7,0.0824,-0.1633
8,0.0632,-0.1470
9,0.0728,-0.1575
10,0.0592,-0.1479
11,0.0980,-0.1510
12,0.0636,-0.1445
13,0.0800,-0.1450
0,0.9661,1.1227
1,0.9058,1.0636
2,0.6957,0.8598
3,0.8672,0.9592
4,0.6160,0.8087
5,0.8876,0.9680
6,0.5469,0.7739
7,0.8769,0.9636
8,0.4744,0.6887
9,0.7390,0.8521
10,0.4729,0.6972
11,0.8336,0.9190
0,0.0433,-0.0776
12,0.4826,0.7553
1,0.1530,-0.0019
13,0.8902,1.0052
2,0.1464,0.0028
3,0.1508,0.0106
4,0.1411,0.0118
5,0.1407,0.0116
6,0.1398,0.0117
7,0.1489,0.0189
8,0.1468,0.0220
9,0.1461,0.0220
10,0.1482,0.0256
11,0.1517,0.0254
12,0.1478,0.0252
13,-0.0067,-0.0656
0,0.4097,0.5442
1,0.5944,0.6995
2,0.3803,0.5910
3,0.4765,0.6396
4,0.3642,0.6068
5,0.5249,0.6509
6,0.3854,0.6087
7,0.5433,0.6582
8,0.3727,0.5914
9,0.4377,0.6044
10,0.3772,0.5977
11,0.5588,0.6649
12,0.3084,0.5220
13,0.2897,0.4756
0,0.1339,0.0438
1,0.2386,0.1164
2,0.2347,0.1129
3,0.2340,0.1104
4,0.2316,0.1098
5,0.2454,0.1192
6,0.2412,0.1201
7,0.2509,0.1244
8,0.2517,0.1251
9,0.2609,0.1299
10,0.2572,0.1332
11,0.2619,0.1343
12,0.2646,0.1406
13,0.2594,0.1298
0,-0.0134,0.0192
1,-0.1543,-0.1069
2,-0.0545,-0.0288
3,-0.0933,-0.0487
4,-0.0260,-0.0032
5,-0.1388,-0.0804
6,-0.0141,0.0063
7,-0.1381,-0.0874
8,-0.0095,0.0084
9,-0.0963,-0.0482
10,-0.0190,0.0020
11,-0.1425,-0.0835
12,-0.0179,0.0031
13,-0.0674,-0.0103
0,0.0859,-0.1317
1,0.1108,-0.1476
2,0.0788,-0.1571
3,0.0844,-0.1545
4,0.0684,-0.1495
5,0.1002,-0.1524
6,0.0652,-0.1477
